longitude,latitude,elevation,altitude,clutterheight,distance,loss
3.163375835,6.675348642,51,56,6,65,125
3.163366728,6.675357534,51,56,6,65,125
3.163366514,6.675375532,51,56,6,65,125
3.163366514,6.675375532,51,56,6,65,124
3.163451475,6.675043536,51,57,6,66,104
3.163451368,6.675052535,51,57,6,66,104
3.163451368,6.675052535,51,56,6,66,104
3.163357299,6.675393423,51,56,6,66,131
3.163460583,6.675034644,51,57,6,67,106
3.163460476,6.675043643,51,57,6,67,106
3.1633663,6.67539353,51,56,6,67,124
3.1633663,6.67539353,51,56,6,67,131
3.163357085,6.675411421,51,56,6,67,131
3.163356979,6.67542042,51,56,6,67,131
3.163356979,6.67542042,51,56,6,67,134
3.163469797,6.675016753,51,57,6,68,116
3.16346969,6.675025752,51,57,6,68,116
3.16346969,6.675025752,51,57,6,68,107
3.16346969,6.675025752,51,57,6,68,106
3.163469583,6.675034751,51,57,6,68,106
3.163347657,6.675447309,51,56,6,68,139
3.163478904,6.675007861,51,57,6,69,110
3.163478904,6.675007861,51,57,6,69,109
3.163478904,6.675007861,51,57,6,69,111
3.163478904,6.675007861,51,57,6,69,114
3.163478904,6.675007861,51,57,6,69,115
3.163478797,6.67501686,51,57,6,69,115
3.163478797,6.67501686,51,57,6,69,116
3.163356765,6.675438417,51,56,6,69,134
3.163356765,6.675438417,51,56,6,69,139
3.163347443,6.675465307,51,56,6,70,139
3.163347443,6.675465307,51,56,6,70,143
3.163347336,6.675474306,51,56,6,70,143
3.163338122,6.675492197,51,56,6,71,143
3.163338122,6.675492197,51,56,6,71,140
3.163338015,6.675501196,51,56,6,71,140
3.163337908,6.675510195,51,56,6,72,140
3.163337908,6.675510195,51,56,6,72,141
3.163337801,6.675519193,51,56,6,73,141
3.163328694,6.675528085,51,56,6,73,141
3.163328587,6.675537084,51,56,6,73,141
3.163328587,6.675537084,51,56,6,73,144
3.16332848,6.675546083,51,56,6,74,144
3.163328266,6.675564081,52,56,6,75,144
3.163328159,6.67557308,52,56,6,76,144
3.163328159,6.67557308,52,56,6,76,141
3.163318944,6.675590971,52,56,6,77,141
3.163318837,6.675599969,52,56,6,78,142
3.163309516,6.675626859,52,56,6,79,142
3.163309516,6.675626859,52,56,6,79,141
3.163309302,6.675644857,52,56,6,81,141
3.163309195,6.675653856,52,56,6,82,141
3.163309195,6.675653856,52,56,6,82,145
3.163309088,6.675662855,52,56,6,83,145
3.163299874,6.675680746,52,56,6,84,145
3.163299874,6.675680746,52,56,6,84,140
3.163290552,6.675707635,52,56,16,85,139
3.163299553,6.675707742,52,56,6,86,140
3.163299553,6.675707742,52,56,6,86,139
3.163290232,6.675734632,52,56,16,88,139
3.163290232,6.675734632,52,56,16,88,148
3.163281124,6.675743524,52,56,16,88,148
3.16328091,6.675761522,52,56,16,90,148
3.16328091,6.675761522,52,56,16,90,144
3.163271589,6.675788411,52,56,16,92,144
3.163271589,6.675788411,52,56,16,92,139
3.163271482,6.67579741,52,56,16,93,139
3.163271161,6.675824407,52,56,16,95,139
3.163271161,6.675824407,52,56,16,95,144
3.163262161,6.6758243,52,56,16,95,144
3.163261947,6.675842298,52,56,4,97,144
3.163261947,6.675842298,52,56,4,97,139
3.163261733,6.675860295,52,56,4,98,139
3.163252625,6.675869187,52,56,4,99,139
3.163252625,6.675869187,52,56,4,99,135
3.163252411,6.675887185,52,56,4,101,135
3.163243197,6.675905076,52,56,4,102,135
3.163243197,6.675905076,52,56,4,102,140
3.163233875,6.675931966,52,56,4,104,140
3.163233875,6.675931966,52,56,4,104,136
3.163233769,6.675940964,52,56,4,105,136
3.163224554,6.675958855,52,56,4,107,136
3.163224447,6.675967854,52,56,4,108,136
3.163224126,6.675994851,52,56,4,110,136
3.163215019,6.676003743,52,56,4,111,136
3.163214912,6.676012742,52,56,4,112,136
3.163214912,6.676012742,52,56,4,112,135
3.16320559,6.676039631,52,56,4,114,135
3.163205483,6.67604863,52,56,4,115,135
3.163205483,6.67604863,52,56,4,115,136
3.163196162,6.67607552,52,56,4,118,136
3.163196162,6.67607552,52,56,4,118,140
3.163186841,6.676102409,52,56,4,120,140
3.163186841,6.676102409,52,56,4,120,144
3.16318652,6.676129406,52,56,4,123,144
3.16318652,6.676129406,52,56,4,123,146
3.163177305,6.676147297,52,56,4,125,146
3.163177198,6.676156296,52,56,4,126,146
3.163177198,6.676156296,52,56,4,126,141
3.163177091,6.676165295,52,56,4,127,141
3.163167877,6.676183185,52,56,4,128,141
3.163167877,6.676183185,52,56,4,128,144
3.163158556,6.676210075,52,56,4,131,144
3.163158449,6.676219074,52,56,4,132,140
3.163158235,6.676237072,52,56,4,134,140
3.163158235,6.676237072,52,56,4,134,137
3.163149127,6.676245964,52,56,4,135,137
3.163148806,6.67627296,52,56,4,138,137
3.163148806,6.67627296,52,56,4,138,140
3.163148699,6.676281959,52,56,4,139,140
3.163139592,6.676290851,52,56,4,139,140
3.163139485,6.67629985,52,56,4,140,140
3.163139485,6.67629985,52,56,4,140,142
3.163139378,6.676308849,52,56,4,141,142
3.163130163,6.67632674,52,56,4,143,142
3.163130056,6.676335739,52,56,4,144,137
3.163129736,6.676362735,52,56,4,147,137
3.163129736,6.676362735,52,56,4,147,144
3.163129629,6.676371734,52,56,4,148,144
3.163120414,6.676389625,52,56,4,150,144
3.163120414,6.676389625,52,56,4,150,136
3.1631202,6.676407623,52,56,4,152,136
3.163111093,6.676416515,52,56,4,152,136
3.163110986,6.676425513,52,56,4,153,136
3.163110772,6.676443511,52,56,4,155,136
3.163110772,6.676443511,52,56,4,155,134
3.163101664,6.676452403,52,56,4,156,134
3.163101343,6.6764794,52,56,4,159,134
3.163092343,6.676479293,52,56,4,159,132
3.163092022,6.676506289,52,56,4,162,132
3.163092022,6.676506289,52,56,4,162,136
3.163091915,6.676515288,52,56,4,163,136
3.163082807,6.67652418,52,56,4,164,136
3.1630827,6.676533179,52,56,4,165,136
3.1630827,6.676533179,52,56,4,165,141
3.163073379,6.676560069,52,56,4,167,141
3.163073379,6.676560069,52,56,4,167,143
3.163073272,6.676569068,52,57,4,168,143
3.163063951,6.676595957,52,57,4,171,143
3.163063951,6.676595957,52,57,4,171,139
3.163054736,6.676613848,52,57,4,173,139
3.163054736,6.676613848,52,57,4,173,144
3.163054629,6.676622847,52,57,4,174,144
3.163045415,6.676640738,52,57,4,176,144
3.163045201,6.676658736,52,57,4,178,144
3.163044987,6.676676733,52,57,4,180,144
3.163035986,6.676676626,52,57,4,180,144
3.163035665,6.676703623,52,57,4,183,144
3.163035665,6.676703623,52,57,4,183,140
3.163026344,6.676730513,52,57,4,186,140
3.163017129,6.676748403,51,57,4,187,140
3.163016916,6.676766401,51,57,4,189,140
3.163007701,6.676784292,51,57,4,191,140
3.163007487,6.67680229,51,57,4,193,140
3.16300738,6.676811289,51,57,4,194,140
3.16300738,6.676811289,51,57,4,194,141
3.162998059,6.676838178,51,57,4,197,141
3.162998059,6.676838178,51,57,4,197,140
3.162988737,6.676865068,51,57,4,200,140
3.162988737,6.676865068,51,57,4,200,141
3.16298863,6.676874067,51,57,4,201,141
3.162979416,6.676891958,51,57,4,203,141
3.162979309,6.676900956,51,57,4,204,141
3.162979095,6.676918954,51,57,4,206,141
3.162979095,6.676918954,51,57,4,206,140
3.162969773,6.676945844,51,57,4,209,140
3.162969773,6.676945844,51,57,4,209,136
3.162960559,6.676963735,51,57,4,211,136
3.162960452,6.676972733,51,57,4,212,136
3.162960452,6.676972733,51,57,4,212,138
3.162960345,6.676981732,51,57,4,213,138
3.16295113,6.676999623,51,57,4,215,138
3.16295113,6.676999623,51,57,4,215,134
3.162951023,6.677008622,51,57,4,216,134
3.162950809,6.67702662,51,57,4,218,134
3.162941809,6.677026513,51,57,4,218,134
3.162941809,6.677026513,51,57,4,218,136
3.162941488,6.677053509,51,57,4,221,136
3.162941488,6.677053509,51,57,4,221,132
3.162932166,6.677080399,51,57,4,224,132
3.162932166,6.677080399,51,57,4,224,131
3.162932059,6.677089398,51,57,4,225,131
3.162922738,6.677116288,51,57,4,228,131
3.162922524,6.677134285,51,57,4,230,131
3.162913417,6.677143177,51,57,4,231,131
3.16291331,6.677152176,51,57,4,232,131
3.162913096,6.677170174,51,57,4,234,131
3.162913096,6.677170174,51,57,4,234,130
3.162903774,6.677197063,51,57,4,237,130
3.162903453,6.67722406,51,57,4,240,130
3.162894453,6.677223953,51,57,4,240,130
3.162894453,6.677223953,51,57,4,240,131
3.162894346,6.677232952,51,57,4,241,131
3.162894132,6.67725095,51,57,4,243,131
3.162894132,6.67725095,51,57,4,243,128
3.162894025,6.677259949,51,57,4,244,128
3.16288481,6.677277839,51,57,4,246,128
3.16288481,6.677277839,51,57,4,246,131
3.162884596,6.677295837,51,57,4,248,131
3.162884489,6.677304836,51,57,4,249,131
3.162884382,6.677313835,51,57,4,250,131
3.162875382,6.677313728,51,57,4,250,131
3.162875061,6.677340724,51,57,4,253,131
3.162875061,6.677340724,51,57,4,253,130
3.162874954,6.677349723,51,57,4,254,130
3.162865739,6.677367614,51,57,4,256,130
3.162865739,6.677367614,51,57,4,256,132
3.162865632,6.677376613,51,57,4,257,132
3.162865418,6.677394611,51,57,4,259,132
3.162865418,6.677394611,51,57,4,259,129
3.162856418,6.677394504,51,57,4,259,129
3.162856097,6.6774215,51,57,4,262,129
3.162856097,6.6774215,51,57,4,262,130
3.16285599,6.677430499,51,57,4,263,130
3.162855883,6.677439498,51,57,4,264,130
3.162846775,6.67744839,51,57,4,265,130
3.162846775,6.67744839,51,57,4,265,133
3.162846454,6.677475387,51,57,4,268,133
3.162846454,6.677475387,51,57,4,268,138
3.162837133,6.677502276,51,57,4,270,138
3.162837133,6.677502276,51,57,4,270,141
3.162836919,6.677520274,51,57,4,272,141
3.162827811,6.677529166,51,57,4,274,141
3.162827597,6.677547164,51,57,4,276,141
3.162827597,6.677547164,51,57,4,276,138
3.162818383,6.677565054,51,57,4,278,138
3.162818276,6.677574053,51,57,4,279,138
3.162818276,6.677574053,51,57,4,279,136
3.162808954,6.677600943,51,57,4,282,136
3.162808954,6.677600943,51,57,4,282,139
3.162808633,6.67762794,52,57,4,285,139
3.162808633,6.67762794,52,57,4,285,133
3.162799419,6.67764583,52,57,4,287,133
3.162799419,6.67764583,52,57,4,287,134
3.162799205,6.677663828,52,57,4,289,134
3.162799205,6.677663828,52,57,4,289,137
3.162798991,6.677681826,52,57,4,291,137
3.162798884,6.677690825,52,57,4,292,137
3.162798884,6.677690825,52,57,4,292,130
3.162798777,6.677699824,52,57,4,293,130
3.162789669,6.677708715,52,57,4,294,130
3.162789669,6.677708715,52,57,4,294,139
3.162789562,6.677717714,52,57,4,295,139
3.162789455,6.677726713,52,57,4,296,139
3.162789455,6.677726713,52,57,4,296,136
3.162789348,6.677735712,52,57,4,297,136
3.162789241,6.677744711,52,57,4,298,136
3.162789241,6.677744711,52,57,4,298,127
3.162798028,6.677762816,52,57,4,300,127
3.162798028,6.677762816,52,57,4,300,128
3.162797814,6.677780813,52,57,4,302,128
3.162797814,6.677780813,52,57,4,302,129
3.162806814,6.67778092,52,57,4,302,129
3.162806707,6.677789919,52,57,4,303,129
3.162806707,6.677789919,52,57,4,303,131
3.162815601,6.677799025,52,57,4,304,131
3.162824494,6.677808131,52,57,4,305,131
3.162824494,6.677808131,52,57,4,305,140
3.162833388,6.677817237,52,57,4,305,140
3.162833388,6.677817237,52,57,4,305,136
3.162842281,6.677826343,52,57,4,307,136
3.162842281,6.677826343,52,57,4,307,133
3.162851175,6.677835449,52,57,4,308,133
3.162851175,6.677835449,52,57,4,308,137
3.162860175,6.677835556,52,57,4,308,137
3.162869176,6.677835663,52,57,4,308,137
3.162878176,6.67783577,52,57,4,308,128
3.16288707,6.677844875,52,57,4,309,128
3.16288707,6.677844875,52,57,4,309,131
3.16289607,6.677844982,52,57,4,309,131
3.162914071,6.677845196,52,57,4,309,131
3.162914071,6.677845196,52,57,4,309,136
3.162932072,6.67784541,52,57,4,309,136
3.162932072,6.67784541,52,57,4,309,134
3.162941073,6.677845517,52,57,4,309,134
3.162959074,6.677845731,52,58,4,309,134
3.162959074,6.677845731,52,58,4,309,138
3.162968074,6.677845838,52,58,4,309,138
3.162977075,6.677845945,52,58,4,309,138
3.162977075,6.677845945,52,58,4,309,130
3.162986075,6.677846052,52,58,4,309,130
3.163004076,6.677846266,52,58,4,309,130
3.163004076,6.677846266,52,58,4,309,132
3.163013077,6.677846373,52,58,4,309,132
3.163031078,6.677846587,52,58,4,309,132
3.163031078,6.677846587,52,58,4,309,131
3.163049079,6.677846801,52,58,4,309,131
3.163058079,6.677846908,52,58,4,310,131
3.163058079,6.677846908,52,58,4,310,128
3.163084974,6.677856228,52,58,4,311,128
3.163084974,6.677856228,52,58,4,311,133
3.163102975,6.677856442,52,58,4,311,133
3.163102975,6.677856442,52,58,4,311,136
3.163111975,6.677856549,52,58,4,311,136
3.163129976,6.677856763,52,58,4,311,136
3.163129976,6.677856763,52,58,4,311,142
3.16314787,6.677865976,52,58,4,312,142
3.163156871,6.677866083,52,58,4,313,142
3.163156871,6.677866083,52,58,4,313,138
3.163165871,6.67786619,52,59,4,313,138
3.163174872,6.677866297,52,59,4,313,138
3.163183872,6.677866404,52,59,4,313,138
3.163183872,6.677866404,52,59,4,313,134
3.163210767,6.677875723,52,59,4,314,134
3.163210767,6.677875723,52,59,4,314,133
3.163228768,6.677875937,52,59,4,315,133
3.163237768,6.677876044,53,59,4,315,133
3.163246769,6.677876151,53,59,4,315,132
3.163264663,6.677885364,53,59,4,316,132
3.163264663,6.677885364,53,59,4,316,145
3.163273663,6.677885471,53,59,4,316,145
3.163300665,6.677885792,53,59,4,317,145
3.163300665,6.677885792,53,59,4,317,137
3.163327559,6.677895112,53,59,4,318,137
3.16333656,6.677895219,53,59,4,318,137
3.16334556,6.677895326,53,59,4,319,137
3.163354561,6.677895433,53,59,4,319,137
3.163354561,6.677895433,53,59,4,319,136
3.163363561,6.67789554,53,59,4,319,136
3.163381455,6.677904753,53,59,4,320,136
3.163381455,6.677904753,53,59,4,320,139
3.163399457,6.677904967,53,59,4,321,139
3.163408457,6.677905074,53,59,4,321,139
3.163417458,6.677905181,53,59,4,321,139
3.163417458,6.677905181,53,59,4,321,140
3.163426458,6.677905288,53,59,4,321,140
3.163444352,6.6779145,53,60,4,323,140
3.163444352,6.6779145,53,60,4,323,138
3.163453353,6.677914607,53,60,4,323,138
3.163471354,6.677914821,53,60,4,323,138
3.163480354,6.677914928,53,60,4,324,138
3.163507249,6.677924248,53,60,4,325,138
3.163507249,6.677924248,53,60,4,325,139
3.16352525,6.677924462,53,60,4,326,139
3.16353425,6.677924569,53,60,4,326,139
3.16353425,6.677924569,53,60,4,326,141
3.163552251,6.677924783,53,60,4,326,141
3.163570145,6.677933996,53,60,4,328,141
3.163570145,6.677933996,53,60,4,328,138
3.163579146,6.677934103,53,60,4,328,138
3.163606147,6.677934424,54,60,4,329,138
3.163606147,6.677934424,54,60,4,329,144
3.163615148,6.677934531,54,60,4,329,144
3.163642042,6.677943851,54,60,4,331,144
3.163642042,6.677943851,54,60,4,331,142
3.163651043,6.677943958,54,60,4,331,142
3.163669044,6.677944171,54,60,4,332,142
3.163669044,6.677944171,54,60,4,332,148
3.163678045,6.677944278,54,60,4,332,148
3.163704939,6.677953598,54,60,4,334,148
3.163731941,6.677953919,54,60,4,335,148
3.163731834,6.677962918,54,60,4,336,148
3.163731834,6.677962918,54,60,4,336,151
3.163758835,6.677963239,54,61,4,337,151
3.163767836,6.677963346,54,61,4,337,155
3.163803731,6.677972773,54,61,4,339,155
3.163803731,6.677972773,54,61,4,339,151
3.163812731,6.67797288,54,61,4,340,151
3.163830732,6.677973094,54,61,4,340,151
3.163830732,6.677973094,54,61,4,340,153
3.163848626,6.677982306,54,61,4,342,153
3.163857627,6.677982413,54,61,4,342,153
3.163857627,6.677982413,54,61,4,342,148
3.163884629,6.677982734,54,61,4,343,148
3.163893522,6.67799184,54,61,4,344,148
3.163902523,6.677991947,54,61,4,345,148
3.163929524,6.677992268,54,61,4,346,148
3.163929524,6.677992268,54,61,4,346,153
3.163938525,6.677992375,54,61,4,346,153
3.163965419,6.678001695,54,61,4,348,153
3.163965419,6.678001695,54,61,4,348,151
3.163992421,6.678002016,54,61,4,349,151
3.163992421,6.678002016,54,61,4,349,147
3.164010315,6.678011229,55,61,4,351,147
3.164019315,6.678011336,55,61,4,351,147
3.164019315,6.678011336,55,61,4,351,155
3.164046317,6.678011656,55,61,4,352,155
3.164055211,6.678020762,55,61,4,354,155
3.164055211,6.678020762,55,61,4,354,148
3.164064211,6.678020869,55,61,4,354,148
3.164082212,6.678021083,55,61,4,355,148
3.164091213,6.67802119,55,61,4,355,145
3.164100213,6.678021297,55,61,4,356,145
3.164118107,6.67803051,55,61,4,357,145
3.164127108,6.678030617,55,61,4,358,152
3.164136108,6.678030724,55,61,4,358,152
3.164145109,6.678030831,55,61,4,359,152
3.164145109,6.678030831,55,61,4,359,149
3.164154109,6.678030938,55,61,4,359,149
3.164181004,6.678040258,55,61,4,361,149
3.164181004,6.678040258,55,61,4,361,143
3.164190004,6.678040365,55,61,4,362,143
3.164217006,6.678040686,56,61,4,363,143
3.1642259,6.678049791,56,61,4,364,143
3.164243901,6.678050005,56,61,4,365,143
3.164252901,6.678050112,56,61,4,365,143
3.164252901,6.678050112,56,61,4,365,148
3.164270795,6.678059325,56,61,4,367,148
3.164279796,6.678059432,56,61,4,368,145
3.164306797,6.678059753,56,61,4,369,145
3.164315798,6.67805986,56,61,4,369,145
3.164333692,6.678069073,56,61,4,371,145
3.164342693,6.67806918,56,61,4,372,145
3.164342693,6.67806918,56,61,4,372,141
3.164351693,6.678069287,56,61,4,372,141
3.164369694,6.678069501,56,61,4,373,141
3.164369694,6.678069501,56,61,4,373,148
3.164378695,6.678069608,56,61,4,374,148
3.164396589,6.67807882,56,61,4,375,148
3.164396589,6.67807882,56,61,4,375,146
3.164405589,6.678078927,56,61,4,376,146
3.164432591,6.678079248,56,62,4,377,146
3.164441591,6.678079355,56,62,4,378,144
3.164459485,6.678088568,56,62,4,380,144
3.164468486,6.678088675,56,62,4,380,144
3.164468486,6.678088675,56,62,4,380,142
3.164486487,6.678088889,56,62,4,381,142
3.164495381,6.678097995,56,62,4,382,142
3.164495381,6.678097995,56,62,4,382,144
3.164504381,6.678098102,56,62,4,383,144
3.164531383,6.678098423,56,62,4,384,144
3.164531383,6.678098423,56,62,4,384,145
3.164558277,6.678107742,56,62,4,387,145
3.164558277,6.678107742,56,62,4,387,140
3.164567278,6.678107849,56,62,4,387,140
3.164576278,6.678107956,56,62,4,388,140
3.164585279,6.678108063,56,62,4,388,140
3.164585279,6.678108063,56,62,4,388,147
3.164603173,6.678117276,56,62,4,390,147
3.164612174,6.678117383,56,62,4,391,147
3.164621174,6.67811749,56,62,4,391,147
3.164621174,6.67811749,56,62,4,391,142
3.164630175,6.678117597,56,62,4,392,142
3.164648069,6.67812681,56,62,4,393,142
3.164657069,6.678126917,56,62,4,394,142
3.164657069,6.678126917,56,62,4,394,144
3.164684071,6.678127238,56,62,4,395,144
3.164683964,6.678136237,56,62,4,396,141
3.164710966,6.678136557,56,62,4,398,141
3.164710966,6.678136557,56,62,4,398,144
3.164719966,6.678136664,56,62,4,398,144
3.164746861,6.678145984,56,62,4,401,144
3.164746861,6.678145984,56,62,4,401,138
3.164755861,6.678146091,56,62,4,401,138
3.164764862,6.678146198,56,62,4,402,138
3.164773755,6.678155304,56,62,4,403,138
3.164773755,6.678155304,56,62,4,403,145
3.164782756,6.678155411,56,62,4,404,145
3.164800757,6.678155625,56,62,4,405,145
3.164809758,6.678155732,56,62,4,405,145
3.164809758,6.678155732,56,62,4,405,142
3.164818758,6.678155839,56,62,4,406,142
3.164836652,6.678165052,56,62,4,408,142
3.164845653,6.678165158,56,62,4,408,148
3.164872654,6.678165479,56,62,4,410,148
3.164872654,6.678165479,56,62,4,410,143
3.164881655,6.678165586,56,62,4,411,143
3.16490855,6.678174906,56,62,4,413,143
3.16490855,6.678174906,56,62,4,413,142
3.16491755,6.678175013,56,62,4,414,142
3.164944445,6.678184333,56,62,4,416,142
3.164944445,6.678184333,56,62,4,416,144
3.164971446,6.678184654,56,62,4,418,144
3.164971446,6.678184654,56,62,4,418,145
3.164980447,6.678184761,56,62,4,419,145
3.164989448,6.678184868,56,62,4,419,145
3.165007342,6.67819408,56,62,4,421,145
3.165007342,6.67819408,56,62,4,421,143
3.165025343,6.678194294,56,62,4,422,143
3.165034343,6.678194401,56,62,4,423,143
3.165043344,6.678194508,56,62,4,423,143
3.165043344,6.678194508,56,62,4,423,145
3.165052237,6.678203614,56,62,4,425,145
3.165079239,6.678203935,56,62,4,427,145
3.16508824,6.678204042,56,62,4,427,147
3.165115134,6.678213362,56,62,4,430,147
3.165115134,6.678213362,56,62,4,430,146
3.165124135,6.678213469,56,62,4,430,146
3.165151136,6.678213789,56,62,4,432,146
3.165151136,6.678213789,56,62,4,432,148
3.165169031,6.678223002,56,62,4,434,148
3.165178031,6.678223109,56,61,4,435,148
3.165187032,6.678223216,56,61,4,435,137
3.165213926,6.678232536,56,61,4,438,137
3.165213926,6.678232536,56,61,4,438,143
3.165240928,6.678232857,56,61,4,440,143
3.165249928,6.678232964,56,61,4,440,143
3.165258822,6.67824207,56,61,4,442,147
3.165285824,6.67824239,56,61,4,444,147
3.165285824,6.67824239,56,61,4,444,148
3.165294824,6.678242497,56,61,4,444,148
3.165321719,6.678251817,56,61,4,447,148
3.16533072,6.678251924,56,61,4,447,148
3.165366722,6.678252352,56,61,4,450,148
3.165366722,6.678252352,56,61,4,450,141
3.165366615,6.678261351,56,61,4,451,141
3.165393616,6.678261672,56,61,4,453,141
3.165402617,6.678261779,56,61,4,453,141
3.165402617,6.678261779,56,61,4,453,142
3.165429512,6.678271098,56,61,4,456,142
3.165438512,6.678271205,56,61,4,457,136
3.165465514,6.678271526,56,61,4,458,136
3.165465514,6.678271526,56,61,4,458,144
3.165474514,6.678271633,56,61,4,459,144
3.165474407,6.678280632,56,61,4,460,144
3.165501409,6.678280953,56,61,4,462,144
3.165501409,6.678280953,56,61,4,462,139
3.16551941,6.678281167,56,61,4,463,139
3.165528411,6.678281274,56,61,4,464,139
3.165537304,6.678290379,56,61,4,465,139
3.165537304,6.678290379,56,61,4,465,142
3.165546305,6.678290486,56,61,4,466,142
3.165573307,6.678290807,56,61,4,468,142
3.165573307,6.678290807,56,61,4,468,148
3.165582307,6.678290914,56,61,4,468,148
3.165600201,6.678300127,56,61,4,470,148
3.165600201,6.678300127,56,61,4,470,146
3.165618202,6.678300341,56,61,4,472,146
3.165645097,6.678309661,56,61,4,475,146
3.165645097,6.678309661,56,61,4,475,150
3.165654098,6.678309768,56,61,4,475,150
3.165672099,6.678309981,56,61,4,477,150
3.165672099,6.678309981,56,61,4,477,147
3.165681099,6.678310088,56,61,4,477,147
3.165716995,6.678319515,56,61,4,481,147
3.16575289,6.678328942,56,61,4,484,147
3.16575289,6.678328942,56,61,4,484,144
3.16576189,6.678329049,56,61,4,485,144
3.165779892,6.678329263,56,61,4,486,144
3.165779892,6.678329263,56,61,4,486,145
3.165797786,6.678338475,56,61,4,488,145
3.165824787,6.678338796,56,61,4,490,145
3.165824787,6.678338796,56,61,4,490,144
3.165860683,6.678348223,56,61,4,494,144
3.165860683,6.678348223,56,61,4,494,143
3.165869683,6.67834833,56,61,4,494,143
3.165878684,6.678348437,56,61,4,495,143
3.165896578,6.67835765,56,61,4,497,143
3.165896578,6.67835765,56,61,4,497,138
3.16592358,6.67835797,56,61,4,499,138
3.16592358,6.67835797,56,61,4,499,144
3.165959475,6.678367397,56,61,4,503,144
3.165968475,6.678367504,56,61,4,503,143
3.165977476,6.678367611,56,61,4,504,143
3.165986477,6.678367718,56,61,4,505,143
3.166004371,6.678376931,56,61,4,507,143
3.166004371,6.678376931,56,61,4,507,139
3.166031372,6.678377252,55,61,4,509,139
3.166040373,6.678377359,55,61,4,510,139
3.166040373,6.678377359,55,61,4,510,150
3.166049374,6.678377465,55,61,4,510,150
3.166067268,6.678386678,55,61,4,512,150
3.166076268,6.678386785,55,61,4,513,154
3.16610327,6.678387106,55,61,4,515,154
3.16610327,6.678387106,55,61,4,515,151
3.166112164,6.678396212,55,61,4,517,151
3.166139165,6.678396533,55,61,4,519,151
3.166139165,6.678396533,55,61,4,519,148
3.166148166,6.67839664,55,61,4,520,148
3.166175061,6.678405959,55,61,4,522,148
3.166175061,6.678405959,55,61,4,522,146
3.166184061,6.678406066,55,61,4,523,146
3.166202062,6.67840628,55,61,4,525,146
3.166211063,6.678406387,55,61,4,525,146
3.166211063,6.678406387,55,61,4,525,148
3.166237958,6.678415707,55,61,4,528,148
3.166246958,6.678415814,55,61,4,529,147
3.16627396,6.678416135,55,61,4,531,147
3.16627396,6.678416135,55,61,4,531,152
3.166282961,6.678416241,55,61,4,532,152
3.166300962,6.678416455,55,61,4,533,152
3.166300962,6.678416455,55,61,4,533,150
